text,label,label_id,pred_label,pred_label_id,prob_negative,prob_positive,confidence,error_type,note
This is definitely one of the best Kung fu movies in the history of Cinema. The screenplay is really well done (which is not often the case for this type of movies) and you can see that Chuck (in one of his first role)is a great actor. The final fight with the sherif deputy in the bullring is a masterpiece!,negative,0,positive,1,0.00023967339075170457,0.9997603297233582,0.9997603297233582,false_positive,
"This movie was pure genius. John Waters is brilliant. It is hilarious and I am not sick of it even after seeing it about 20 times since I bought it a few months ago. The acting is great, although Ricki Lake could have been better. And Johnny Depp is magnificent. He is such a beautiful man and a very talented actor. And seeing most of Johnny's movies, this is probably my favorite. I give it 9.5/10. Rent it today!",negative,0,positive,1,0.000297103775665164,0.9997028708457947,0.9997028708457947,false_positive,
"Given this film's incredible reviews I was expecting something truly exceptional. It certainly starts well with witty and sharp dialogue, and a fine cast in place. A series of Robert Altman-style interwoven stories reel the viewer in with some compelling scenes. I found it gripping entertainment right through to the second half of the film when sadly, it collapses like a pack of cards. A series of ludicrous coincidences and right-on messages stack up until I'm left deeply disappointed and wondering what all the fuss is about. Paul Haggis has tackled the subject of race in LA, and that alone seems to have elevated this movie to a new level of interest. Given that most of the Academy voters live in LA and have experienced racism to some extent, this film is sure to have an impact on them. That means the Oscar for Best Picture will go to the race movie or the gay movie. Let's hope it is the latter, because Brokeback Mountain is a bona fide masterpiece that deserves recognition.",negative,0,positive,1,0.0005682535120286047,0.9994316697120667,0.9994316697120667,false_positive,
"Yes, it might be not historically accurate(actually only 6 soldiers of 9th rota were killed there), and yes, it has some mistakes and exaggeration(bended machine gun? come on! or the that ""history lesson"" about how Afghanistan was never conquered by anyone - educated Russian officer would know history much better than that - take for example British campaign in Afghanistan). And yes, it does not have multi-million dollars Hollywood-style special effects, but it's strongest point in showing soldier's life there, their relationships and their feelings when the best friends are being killed in front of their eyes. In my opinion 9ya rota really does a good job showing all those things.<br /><br />Again, movie has it weaknesses, but, in my opinion, it appears to be one of the strongest Russian movie for the past few years.<br /><br />8/10",negative,0,positive,1,0.0005991979851387441,0.9994008541107178,0.9994008541107178,false_positive,
"The brilliant Australian comic genius Barry Humphries had a rare failure with this uneven, and occasionally distasteful comedy, which was snatched back from release after only a few days. Drunken, lecherous Australian diplomat Sir Les Patterson accidentally sets an Arab potentate on fire at the UN and is posted to his tiny country as punishment, arriving just as a palace coup puts a new leader (American soap star Thaao Penghlis) on the throne. Sir Les, with the reluctant help of Dame Edna Everage (Both played by Humphries) almost accidentally foils a scheme by the new leader to release a deadly, disgusting, AIDS-like virus on the Western World. Joan Rivers has a cameo as the female President of the United States, her desk plate reading ""President Rivers""! Extreme bad taste mingles with slapstick and Humphries' usual scathing satire in a film which is more enjoyable in it's many funny parts, than taken together as a whole. Dame Edna's TV fans may be puzzled by the presence of a different Madge Allsop, sadly, one who lacks Emily Perry's wonderful drab comedy magic in the role. The film was written By Humphries & his third wife, Diane Millstead, and directed by the Mad Max man himself, George Miller. For die-hard Humphries fans like myself, essential. All others, beware.",negative,0,positive,1,0.0006293667829595506,0.9993706345558167,0.9993706345558167,false_positive,
"Just caught ""The Rain People"" on Turner Classic Movies late one night. The film was released in 1969. Shirley Knight stars as Natalie, a Long Island housewife who -- exact reasons unknown -- leaves her husband and embarks on a road trip, not knowing exactly where she is going. Natalie is also newly pregnant, which complicates things. Along the way, she picks up a brain-damaged ex-football player ""Jimmy"" (James Caan), who has been kicked out of his college and is hitchhiking. There are many twists and turns along the way between these two, as Natalie struggles to take care of Jimmy and she begins to realize he is mentally limited and cannot take care of himself. She is going through her own struggles, needless to say, and in no position to care for him. Natalie appears to be a woman on the edge of a nervous breakdown at times; she makes some odd phone calls to her husband, who begs her to come home. Natalie tries to dump Jimmy several times, only to have him re-enter her life through circumstances. A young Robert Duvall plays a strange and troubled cop who befriends Natalie. You get the sense all along that this film is going to end badly, and it does. This film is certainly uneven at times, and the script is somewhat lacking. Francis Ford Coppola directed this, and of course he would soon become immensely famous in the next few years for directing ""The Godfather."" The actors are good ones, needless to say, as they all would have futures ahead of them in film. Shirley Knight is the least known of the three, although she is also underrated as an actor. James Caan is especially effective here and he seems to just inhabit this character. This film remains little more than a curiosity now, no doubt because it is an early movie of Coppola's, and I confess I had never heard of it. So God bless Turner Classic Movies for bringing it to a new audience.",negative,0,positive,1,0.000630497932434082,0.9993695616722107,0.9993695616722107,false_positive,
"I enjoyed the beautiful scenery in this movie the first time I saw it when I was 9 . Dunderklumpen is kind of cute for kiddies in a corny way. It reminded me of HRPUFFINSTUFF on sat mornings, Its Swedish backdrops make it easy on the eyes . Don't expect older kids to be interested as the live action/animation is way behind the times and most older kids will get bored.This is definitely an under 10 age set movie and a nice bit of memories for those of us who were little kids in 1974.",negative,0,positive,1,0.0006895149708725512,0.9993104934692383,0.9993104934692383,false_positive,
"This has to be one of the all time greatest horror movies. Charles Band made the best movie of 96' in this little seen gem. Highly realistic and , incredibly stylised- with a visual flair David Fincher would envy, its not hard to see why Band went on to make such classics as 'Killjoy 2: Deliverance From Evil', 'The Regina Pierce Affair', 'Virgins of Sherwood Forest', and 'Timegate: Tales of the Saddle Tramps'.<br /><br />With a highly sophisticated story- a tiny body with a large head controls a family of weirdos who perform experiments on naked women, this movie may be a bit too much for younger viewers and is only for the most educated type of viewer, but for those who see it, Band is able to convey subtle messages about the human condition through his masterpiece. The head is symbolic of the lost love and longing for one's inner self that we all must face at one point or another, and for this reason i was able to engage with this film on a deeply personal level. Although many earlier critics have compared Band's film to Re-animator and other lesser works, this stands head and heels above the rest. It is gorier, but not pointlessly. The gore in this film is well crafted and used to enhance the storyline, rather than to just get a cheap shriek out of the audience. Also, the special effects in this film are absolutely top notch, easily the best work done in a horror film since... well... ever! The work in this film makes Savini's effects look like the work of a blind, limbless hobo.<br /><br />The only problem i have with this film is the copious amounts of full frontal nudity, which were ultimately unnecessary in achieving the composer's goal- to create a timeless epic that would forever go down in history as possibly the greatest film of all time. If it were not for this slight problem i would have given this film a perfect 10.",negative,0,positive,1,0.0006987625383771956,0.9993011951446533,0.9993011951446533,false_positive,
"I really liked this quirky movie. The characters are not the bland beautiful people that show up in so many movies and on TV. It has a realistic edge, with a captivating story line. The main title sequence alone makes this movie fun to watch.",negative,0,positive,1,0.0008812579908408225,0.9991187453269958,0.9991187453269958,false_positive,
"This is among one of many USA attempts of remaking a old classic British TV show, that's more famous than this one. From what I see none of you haven't mentioned or even acknowledged that you knew there was a TV 50's-60's called ""Secret Agent Man"" The original Secret Agent Man starred the great Patrick McGoohan (The Prisoner,Braveheart,Ice Station Zebra,The Phantom, etc) a man who was tapped to be the first James Bond, but he turned it down because McGoohan was a very devout man and he considered James Bond's bed hopping and violent ways to be against his values.<br /><br />This show was done in black and white, and it's a pity for those who haven't seen it,you are missing out on a lot. The character Mr. McGoohan played in ""Secret Agent Man"" was named Drake, and after he finished with that show he went on to the do the very popular though at times bizarre and controversial TV series called ""The Prisoner"". The character he played in ""The Prisoner"" was that of a agent who's identity is not revealed is kidnapped and transported to a island where he does not know where he is or who it was that is responsible for kidnapping him. What he does know is that his captors want to know the reasons behind his resignation from the British Secret Service, and on this island the populace don't have names but they are referred to by numbers and Patricks character is assigned a number which is ""6"" It was argued that his Prisoner character was in fact the same character he played in Secret Agent Man but McGoohan himself disputed this.<br /><br />Ofourse there is the unmistakable famous theme song that the original Secret Agent Man spawned. It was written by Johnny Rivers a famous 50's and 60's pop musician and from what I read some of you are actually think that the song comes from THIS version of the show. You're very wrong about that. It was Johnny's and it comes from the original TV series so let me help to set the facts straight. To those of you who complained about the name of the show being stupid, well in England, it was actually called ""Danger Man"" and in the US it was retitled ""Secret Agent Man"" For such a supposedly stupid name the show did well enough when it was first aired.<br /><br />Granted this current show has little to do with the original, no such main character named Drake in this one, and I guess they did their best to make this show their version of ""Secret Agent Man"". But it does use the redone version of the original theme song so that does tell you that this show was indeed meant to be a redone albeit however inferior redone version of the original series.",negative,0,positive,1,0.0008823107928037643,0.9991176724433899,0.9991176724433899,false_positive,
